"char_length";"cfop";"ncm";"coalesce";"y"
11;"5102";"31052000-000";"0";"aliquota zero"
14;"5101";"01039100-000";"0";"suspensao"
14;"5101";"01039100-000";"0";"suspensao"
11;"5102";"38089329-000";"0";"aliquota zero"
11;"5102";"39219090-000";"0";"tributado"
11;"5102";"23023010-000";"0";"tributado"
11;"5102";"23040090-000";"0";"suspensao"
11;"5102";"23099090-000";"0";"tributado"
11;"5102";"30023090-000";"0";"aliquota zero"
11;"5102";"23099090-000";"0";"tributado"
11;"5102";"38089192-000";"0";"aliquota zero"
11;"5102";"30044090-000";"0";"monofasico revenda de produtos"
11;"5102";"05119920-000";"0";"aliquota zero"
11;"5102";"05119920-000";"0";"aliquota zero"
11;"5102";"23099010-000";"0";"suspensao"
11;"5102";"23099090-000";"0";"tributado"
11;"5102";"38089196-000";"0";"aliquota zero"
11;"5102";"39174090-000";"0";"tributado"
11;"5102";"25010019-000";"0";"tributado"
11;"5102";"64019200-000";"0";"tributado"
11;"5102";"25010019-000";"0";"tributado"
